transaction_id,data_hora,ativo,quantidade,tipo_operacao,moeda,cliente_id,canal,mercado,arquivo_origem,importado_em
BTCX-00000064,2024-01-05 19:54:00+00:00,BTC,0.17,VENDA,USD,C007,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.854962+00:00
BTCX-00000065,2024-01-05 10:40:00+00:00,BTC,0.28,VENDA,USD,C008,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855015+00:00
BTCX-00000066,2024-01-05 14:49:00+00:00,BTC,0.09,VENDA,USD,C003,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855072+00:00
BTCX-00000067,2024-01-05 16:35:00+00:00,BTC,0.46,VENDA,USD,C005,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855125+00:00
BTCX-00000068,2024-01-05 10:04:00+00:00,BTC,0.45,COMPRA,USD,C002,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855178+00:00
BTCX-00000069,2024-01-05 14:37:00+00:00,BTC,0.36,COMPRA,USD,C004,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855231+00:00
BTCX-00000070,2024-01-05 09:19:00+00:00,BTC,0.24,COMPRA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855286+00:00
BTCX-00000071,2024-01-05 19:15:00+00:00,BTC,0.43,COMPRA,USD,C005,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855340+00:00
BTCX-00000072,2024-01-06 18:47:00+00:00,BTC,0.1,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855400+00:00
BTCX-00000073,2024-01-06 15:01:00+00:00,BTC,0.12,VENDA,USD,C003,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855454+00:00
BTCX-00000074,2024-01-06 20:51:00+00:00,BTC,0.16,VENDA,USD,C004,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855507+00:00
BTCX-00000075,2024-01-06 10:24:00+00:00,BTC,0.03,VENDA,USD,C003,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855561+00:00
BTCX-00000076,2024-01-06 16:22:00+00:00,BTC,0.2,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855614+00:00
BTCX-00000077,2024-01-06 19:12:00+00:00,BTC,0.26,VENDA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.855666+00:00
BTCX-00000078,2024-01-06 13:22:00+00:00,BTC,0.42,VENDA,USD,C001,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855722+00:00
BTCX-00000079,2024-01-06 14:01:00+00:00,BTC,0.08,VENDA,USD,C007,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855779+00:00
BTCX-00000080,2024-01-06 13:02:00+00:00,BTC,0.07,VENDA,USD,C006,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855835+00:00
BTCX-00000081,2024-01-06 14:27:00+00:00,BTC,0.39,COMPRA,USD,C007,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855887+00:00
BTCX-00000082,2024-01-06 12:16:00+00:00,BTC,0.03,VENDA,USD,C002,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.855944+00:00
BTCX-00000083,2024-01-06 17:43:00+00:00,BTC,0.47,COMPRA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.856014+00:00
BTCX-00000084,2024-01-06 10:42:00+00:00,BTC,0.22,VENDA,USD,C009,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.856079+00:00
BTCX-00000085,2024-01-06 20:57:00+00:00,BTC,0.2,VENDA,USD,C001,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.856234+00:00
BTCX-00000086,2024-01-07 15:44:00+00:00,BTC,0.19,COMPRA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.856344+00:00
BTCX-00000087,2024-01-07 19:24:00+00:00,BTC,0.44,COMPRA,USD,C002,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.856419+00:00
BTCX-00000088,2024-01-07 13:25:00+00:00,BTC,0.36,COMPRA,USD,C009,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.856486+00:00
BTCX-00000089,2024-01-07 12:27:00+00:00,BTC,0.38,VENDA,USD,C004,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.856550+00:00
BTCX-00000090,2024-01-07 16:43:00+00:00,BTC,0.14,VENDA,USD,C008,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.856612+00:00
BTCX-00000091,2024-01-07 19:05:00+00:00,BTC,0.19,VENDA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.856675+00:00
BTCX-00000092,2024-01-07 19:19:00+00:00,BTC,0.15,COMPRA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.856749+00:00
BTCX-00000093,2024-01-07 09:15:00+00:00,BTC,0.31,COMPRA,USD,C002,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.856809+00:00
BTCX-00000094,2024-01-07 19:36:00+00:00,BTC,0.13,VENDA,USD,C008,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.856867+00:00
BTCX-00000095,2024-01-07 12:09:00+00:00,BTC,0.42,COMPRA,USD,C008,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.856924+00:00
BTCX-00000096,2024-01-07 12:11:00+00:00,BTC,0.45,VENDA,USD,C003,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.856981+00:00
BTCX-00000097,2024-01-07 12:58:00+00:00,BTC,0.08,VENDA,USD,C001,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.857037+00:00
BTCX-00000098,2024-01-07 19:33:00+00:00,BTC,0.36,VENDA,USD,C005,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.857096+00:00
BTCX-00000099,2024-01-07 20:57:00+00:00,BTC,0.33,VENDA,USD,C009,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.857151+00:00
BTCX-00000100,2024-01-08 20:55:00+00:00,BTC,0.31,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.857216+00:00
BTCX-00000101,2024-01-08 19:17:00+00:00,BTC,0.5,VENDA,USD,C002,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.857274+00:00
BTCX-00000102,2024-01-08 13:28:00+00:00,BTC,0.05,VENDA,USD,C008,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.857341+00:00
BTCX-00000103,2024-01-08 14:20:00+00:00,BTC,0.35,COMPRA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.857404+00:00
BTCX-00000104,2024-01-08 12:24:00+00:00,BTC,0.45,COMPRA,USD,C008,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.857462+00:00
BTCX-00000105,2024-01-08 10:26:00+00:00,BTC,0.27,VENDA,USD,C004,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.857517+00:00
BTCX-00000106,2024-01-08 15:03:00+00:00,BTC,0.14,VENDA,USD,C002,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.857576+00:00
BTCX-00000107,2024-01-08 20:01:00+00:00,BTC,0.49,VENDA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.857635+00:00
BTCX-00000108,2024-01-08 14:19:00+00:00,BTC,0.49,VENDA,USD,C004,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.857691+00:00
BTCX-00000109,2024-01-08 20:47:00+00:00,BTC,0.35,COMPRA,USD,C007,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.857747+00:00
BTCX-00000110,2024-01-08 13:27:00+00:00,BTC,0.32,COMPRA,USD,C008,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.857803+00:00
BTCX-00000111,2024-01-08 19:43:00+00:00,BTC,0.26,COMPRA,USD,C006,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.857867+00:00
BTCX-00000112,2024-01-08 18:34:00+00:00,BTC,0.02,VENDA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.857922+00:00
BTCX-00000113,2024-01-09 09:05:00+00:00,BTC,0.42,VENDA,USD,C009,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.857986+00:00
BTCX-00000114,2024-01-09 11:03:00+00:00,BTC,0.17,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.858042+00:00
BTCX-00000115,2024-01-09 16:20:00+00:00,BTC,0.22,VENDA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.858100+00:00
BTCX-00000116,2024-01-09 13:53:00+00:00,BTC,0.06,VENDA,USD,C001,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.858156+00:00
BTCX-00000117,2024-01-09 17:03:00+00:00,BTC,0.23,COMPRA,USD,C004,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.858211+00:00
BTCX-00000118,2024-01-09 19:02:00+00:00,BTC,0.49,COMPRA,USD,C001,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.858281+00:00
BTCX-00000119,2024-01-09 09:39:00+00:00,BTC,0.1,COMPRA,USD,C003,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.858404+00:00
BTCX-00000120,2024-01-09 19:07:00+00:00,BTC,0.37,COMPRA,USD,C010,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.858698+00:00
BTCX-00000121,2024-01-09 13:49:00+00:00,BTC,0.24,COMPRA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.858800+00:00
BTCX-00000122,2024-01-09 20:45:00+00:00,BTC,0.08,COMPRA,USD,C004,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.858876+00:00
BTCX-00000123,2024-01-09 18:01:00+00:00,BTC,0.2,VENDA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.858942+00:00
BTCX-00000124,2024-01-09 12:04:00+00:00,BTC,0.38,COMPRA,USD,C002,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.859008+00:00
BTCX-00000125,2024-01-09 13:54:00+00:00,BTC,0.44,COMPRA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.859069+00:00
BTCX-00000126,2024-01-09 14:34:00+00:00,BTC,0.28,VENDA,USD,C006,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.859138+00:00
BTCX-00000127,2024-01-09 19:21:00+00:00,BTC,0.01,VENDA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.859195+00:00
BTCX-00000128,2024-01-09 15:23:00+00:00,BTC,0.41,VENDA,USD,C010,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.859252+00:00
BTCX-00000129,2024-01-10 11:46:00+00:00,BTC,0.34,VENDA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.859330+00:00
BTCX-00000130,2024-01-10 16:29:00+00:00,BTC,0.28,VENDA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.859389+00:00
BTCX-00000131,2024-01-10 10:17:00+00:00,BTC,0.29,COMPRA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.859471+00:00
BTCX-00000132,2024-01-10 18:42:00+00:00,BTC,0.25,VENDA,USD,C007,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.859613+00:00
BTCX-00000133,2024-01-10 14:11:00+00:00,BTC,0.32,COMPRA,USD,C005,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.859691+00:00
BTCX-00000134,2024-01-10 14:17:00+00:00,BTC,0.39,VENDA,USD,C005,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.859759+00:00
BTCX-00000135,2024-01-10 17:12:00+00:00,BTC,0.06,COMPRA,USD,C005,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.859822+00:00
BTCX-00000136,2024-01-10 16:35:00+00:00,BTC,0.49,COMPRA,USD,C010,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.859882+00:00
BTCX-00000137,2024-01-10 19:45:00+00:00,BTC,0.32,VENDA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.859944+00:00
BTCX-00000138,2024-01-10 13:14:00+00:00,BTC,0.26,COMPRA,USD,C007,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.860004+00:00
BTCX-00000139,2024-01-10 18:23:00+00:00,BTC,0.31,VENDA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.860062+00:00
BTCX-00000140,2024-01-10 17:21:00+00:00,BTC,0.23,VENDA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.860118+00:00
BTCX-00000141,2024-01-10 13:14:00+00:00,BTC,0.08,COMPRA,USD,C004,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.860175+00:00
BTCX-00000142,2024-01-10 20:34:00+00:00,BTC,0.49,COMPRA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.860231+00:00
BTCX-00000143,2024-01-11 13:46:00+00:00,BTC,0.38,VENDA,USD,C003,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.860304+00:00
BTCX-00000144,2024-01-11 13:14:00+00:00,BTC,0.24,COMPRA,USD,C008,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.860363+00:00
BTCX-00000145,2024-01-11 20:34:00+00:00,BTC,0.09,VENDA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.860419+00:00
BTCX-00000146,2024-01-11 17:18:00+00:00,BTC,0.45,COMPRA,USD,C007,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.860475+00:00
BTCX-00000147,2024-01-11 10:55:00+00:00,BTC,0.01,VENDA,USD,C004,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.860530+00:00
BTCX-00000148,2024-01-11 16:21:00+00:00,BTC,0.12,COMPRA,USD,C001,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.860586+00:00
BTCX-00000149,2024-01-11 10:52:00+00:00,BTC,0.05,VENDA,USD,C006,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.860641+00:00
BTCX-00000150,2024-01-11 18:40:00+00:00,BTC,0.44,COMPRA,USD,C006,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.860698+00:00
BTCX-00000151,2024-01-11 18:19:00+00:00,BTC,0.06,COMPRA,USD,C007,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.860753+00:00
BTCX-00000152,2024-01-11 15:38:00+00:00,BTC,0.39,COMPRA,USD,C010,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.860808+00:00
BTCX-00000153,2024-01-11 16:58:00+00:00,BTC,0.29,VENDA,USD,C008,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.860862+00:00
BTCX-00000154,2024-01-11 13:36:00+00:00,BTC,0.4,COMPRA,USD,C006,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.860916+00:00
BTCX-00000155,2024-01-11 10:48:00+00:00,BTC,0.14,COMPRA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.860977+00:00
BTCX-00000156,2024-01-11 10:10:00+00:00,BTC,0.16,COMPRA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.861035+00:00
BTCX-00000157,2024-01-11 11:00:00+00:00,BTC,0.27,VENDA,USD,C004,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.861089+00:00
BTCX-00000158,2024-01-12 13:02:00+00:00,BTC,0.15,VENDA,USD,C003,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.861153+00:00
BTCX-00000159,2024-01-12 20:55:00+00:00,BTC,0.3,COMPRA,USD,C006,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.861210+00:00
BTCX-00000160,2024-01-12 13:50:00+00:00,BTC,0.41,COMPRA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.861268+00:00
